OTUs,ES_001t,ES_007t,ES_010t,ES_014t,ES_017t,ES_019t,ES_024t,ES_043t,ES_046t,ES_048t,ES_069t,ES_080t,ES_088t,ES_089t,ES_095t,ES_099t,ES_104t,ES_106t,ES_107t,ES_108t,ES_110t,ES_114t,ES_116t,ES_132t,ES_137t,ES_147t,ES_158t,ES_207t,ES_208t,ES_209t,ES_210t,ES_211t
133,3,9,20,37,78,89,406,247,27,738,12,582,15,4,46,41,114,305,185,58,620,240,223,55,202,58,432,15,247,62,441,12
134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,1,2,0,2,0,0,5,0,0,0,1,6,5,15,2,13,5,13,1,6,0,10,0,4,12,1,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
138,5,37,37,1,63,81,63,7,23,44,9,9,32,31,34,55,9,3,9,0,4,18,5,25,20,13,21,31,4,31,11,73
139,23,13,17,19,11,19,31,20,5,5,7,11,11,9,7,8,5,8,5,20,5,6,5,9,10,9,7,4,1,8,3,5
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
141,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,7,2,19,1,13,7,11,0,2,0,6,2,6,8,2,1
142,0,7,1,4,0,1,4,1,0,0,2,1,0,7,0,0,1,2,8,16,2,3,13,2,1,3,2,0,13,2,2,2
143,37,5,1,0,4,1,0,1,4,14,195,0,26,84,2,5,11,4,2,15,25,0,2,6,71,3,40,18,4,11,0,7
144,0,0,0,1,0,4,37,0,0,0,3,1,8,0,0,0,3,0,9,0,10,1,0,0,5,0,3,0,1,0,1,0
145,5,68,29,17,5,4,22,2,3,3,672,7,1,33,3,1,20,4,13,770,7,18,8,45,1,34,12,11,10,11,3,13
146,0,0,6,3,1,3,6,0,0,0,6,0,1,2,2,1,2,7,4,12,3,3,3,0,0,3,1,2,7,4,0,2
147,0,0,3,0,1,0,4,0,2,0,9,7,0,0,1,0,21,9,7,24,9,3,1,3,0,3,15,4,20,0,2,1
148,2,2,10,12,20,34,92,106,22,6,5,416,1,0,13,6,147,193,47,28,116,175,103,10,129,17,187,1,184,32,61,7
149,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
150,0,5,0,11,2,13,70,9,7,0,3,4,1,4,0,1,3,9,41,5,23,11,8,1,21,4,6,0,7,3,2,0
151,5,4,0,2,1,2,21,6,0,0,621,3,1,3,0,0,5,9,9,622,13,5,5,44,8,45,14,2,12,3,5,2
152,202,0,2,0,0,0,2,22,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
153,0,0,0,0,0,1,1,2,1,0,0,13,1,0,0,0,2,7,10,0,11,4,2,2,0,0,2,0,1,5,3,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
155,0,0,57,26,57,64,267,1,15,1,3,679,34,7,66,79,705,501,157,31,600,131,81,1,9,10,1515,161,2518,145,233,160
156,0,0,0,0,0,1,4,12,0,1,0,18,0,0,0,1,5,22,11,3,7,13,10,3,8,0,16,0,14,5,9,0
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,1,6,2,0,0,3,3,1,0,54,4,0,1,0,0,6,1,2,67,2,2,0,6,2,1,2,0,2,7,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
162,7,8,41,10,1,6,16,23,7,1,25,10,11,12,5,6,3,19,12,30,7,52,13,5,12,3,55,30,5,11,17,4
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
164,0,0,0,0,0,2,1,0,0,0,0,6,0,0,0,0,0,7,10,0,3,5,3,0,1,0,5,0,11,1,2,0
165,1,28,10,28,45,27,279,669,32,63,66,926,37,4,3,22,233,752,361,282,26,619,158,244,218,8,783,4,544,3,269,6
166,7,5,0,38,10,8,44,31,22,3,0,125,8,1,0,8,162,113,2261,1,1845,703,220,39,39,20,178,9,117,759,297,12
167,0,0,0,0,0,0,1,4,0,0,0,9,0,0,0,0,0,0,0,0,2,1,4,0,1,0,0,0,0,0,0,0
168,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
169,12,7,6,11,14,16,14,8,3,2,1,1,3,4,1,3,2,3,1,5,2,3,1,9,8,8,4,5,0,1,2,1
170,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,7,19,1,13,10,73,87,16,16,1,3,28,0,1,0,2,12,179,48,10,113,24,52,3,211,31,9,3,11,19,8,2
172,2166,1530,1642,1920,2063,1248,2611,1829,957,701,670,713,1275,1037,797,1277,628,375,273,1656,729,415,394,853,846,694,814,705,1556,1102,725,865
173,6,5,60,35,77,62,237,9,7,11,1,470,63,7,47,236,1259,848,529,58,1411,858,274,28,76,181,2851,150,3466,351,629,193
174,0,0,2,1,0,0,2,0,0,1,1,0,1,1,0,0,1,4,5,2,0,1,1,0,0,1,3,0,2,2,0,0
175,0,4,6,1,1,0,0,1,0,0,7,2,1,7,0,1,0,2,1,3,0,1,0,1,0,0,0,2,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4
177,1,0,8,2,1,3,8,3,1,0,1,1,1,0,2,0,0,2,1,2,2,1,7,3,2,1,0,1,3,3,0,0
178,0,0,0,1,20,2,11,1,0,1,0,1,2,0,0,1,10,0,21,1,14,0,0,0,0,0,11,2,1,0,0,1
179,227,376,929,501,110,96,347,730,120,72,1380,271,285,891,267,127,254,651,72,1063,71,272,271,229,398,142,1396,817,304,313,114,137
180,0,0,28,8,22,21,78,0,9,2,0,71,36,21,46,170,645,170,91,10,515,71,55,2,10,0,1170,222,1154,76,117,53
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
182,1,0,0,0,0,0,1,1,1,0,2,2,0,1,0,0,2,0,6,1,2,4,3,0,4,0,0,0,2,0,0,0
183,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,12,2,2,0,0,0,1,0,0,0,0,0
184,8,0,5,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,2,0,8,0,0,2,0,0,0,0,1,0,0
185,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,1,1,1,3,2,4,0,0,1,2,0,2,1,1,1,0,0
186,5,0,13,0,0,0,42,41,0,0,0,374,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,2,0,0,0,0
187,0,0,0,0,0,0,4,1,0,1,2,0,0,1,0,0,4,5,8,1,7,4,3,0,3,3,4,1,2,1,1,1
188,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,5,5,1,4,1,1,0,0,0,13,0,6,3,0,0
189,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,2,0,0
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,1,0,1,0,0,0,1,0,1,0
191,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,1,1,1,2,2,0,1,0,1,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,1,0,3,2,8,8,4,0,0,0,21,0,0,0,0,5,1,11,1,2,120,105,0,3,1,0,0,3,8,17,0
194,0,1,5,0,0,1,4,5,0,1,3,5,0,0,3,0,0,3,6,1,3,3,1,0,1,0,3,0,3,2,1,0
195,6,15,13,18,1,1,18,19,0,3,19,15,8,15,9,3,7,24,10,20,24,16,13,5,8,2,51,18,10,13,10,4
196,2,11,0,2,3,34,190,16,27,0,2,17,2,3,0,0,9,114,43,6,12,63,33,1,15,0,3,3,2,8,10,4
197,1,2,9,4,0,2,3,1,0,0,12,9,5,8,0,7,46,33,3,14,40,4,2,0,2,2,73,5,84,5,14,7
198,0,7,0,1,13,14,0,9,0,2,0,3,0,0,0,1,1,13,1,3,2,2,0,0,4,1,8,1,2,0,13,10
199,1248,100,0,925,4922,66,2416,846,2547,469,2,49,1774,54,86,897,199,76,3286,3370,8015,907,195,2955,309,18487,4491,147,366,361,476,7617
200,0,1,0,1,7,2,38,4,8,0,12,5,10,0,1,5,7,20,9,7,21,18,6,0,7,0,12,2,5,5,2,5
201,0,1,0,0,0,1,5,2,0,0,0,2,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0
